GLOBI:EOL:29233198@Fusarium oxysporum f. lycopersici|OTT:404217	IF:218372|NCBI:330941|NCBI:59765|NCBI:61369|NCBI:62683|NCBI:120042|NCBI:120297|NCBI:61364|NCBI:96317|NCBI:61374|NCBI:96318|NCBI:42551|NCBI:100902|NCBI:61370|NCBI:120040	13	2
GLOBI:EOL:11956400@Fusarium oxysporum f. sp. koae|OTT:404217	IF:218372|NCBI:330941|NCBI:59765|NCBI:61369|NCBI:62683|NCBI:120042|NCBI:120297|NCBI:61364|NCBI:96317|NCBI:61374|NCBI:96318|NCBI:42551|NCBI:100902|NCBI:61370|NCBI:120040	13	2
GLOBI:EOL:187980@fusarium oxysporum|OTT:404217	IF:218372|NCBI:330941|NCBI:59765|NCBI:61369|NCBI:62683|NCBI:120042|NCBI:120297|NCBI:61364|NCBI:96317|NCBI:61374|NCBI:96318|NCBI:42551|NCBI:100902|NCBI:61370|NCBI:120040	13	2
GLOBI:NCBITaxon:909455@Fusarium oxysporum Schlechtend|OTT:404217	IF:218372|NCBI:330941|NCBI:59765|NCBI:61369|NCBI:62683|NCBI:120042|NCBI:120297|NCBI:61364|NCBI:96317|NCBI:61374|NCBI:96318|NCBI:42551|NCBI:100902|NCBI:61370|NCBI:120040	13	2
GLOBI:no:match@Fusarium oxysporum Schdl.|OTT:404217	IF:218372|NCBI:330941|NCBI:59765|NCBI:61369|NCBI:62683|NCBI:120042|NCBI:120297|NCBI:61364|NCBI:96317|NCBI:61374|NCBI:96318|NCBI:42551|NCBI:100902|NCBI:61370|NCBI:120040	13	2
GLOBI:bioinfo:taxon:164592@Fusarium oxysporum f.sp. radicis-lycopersici|OTT:404217	IF:218372|NCBI:330941|NCBI:59765|NCBI:61369|NCBI:62683|NCBI:120042|NCBI:120297|NCBI:61364|NCBI:96317|NCBI:61374|NCBI:96318|NCBI:42551|NCBI:100902|NCBI:61370|NCBI:120040	13	2
GLOBI:EOL:1261637@Fusarium oxysporum f. lini|OTT:404217	IF:218372|NCBI:330941|NCBI:59765|NCBI:61369|NCBI:62683|NCBI:120042|NCBI:120297|NCBI:61364|NCBI:96317|NCBI:61374|NCBI:96318|NCBI:42551|NCBI:100902|NCBI:61370|NCBI:120040	13	2
GLOBI:EOL:1274654@Fusarium oxysporum f. vasinfectum|OTT:404217	IF:218372|NCBI:330941|NCBI:59765|NCBI:61369|NCBI:62683|NCBI:120042|NCBI:120297|NCBI:61364|NCBI:96317|NCBI:61374|NCBI:96318|NCBI:42551|NCBI:100902|NCBI:61370|NCBI:120040	13	2
GLOBI:EOL:187980@no name|OTT:404217	IF:218372|NCBI:330941|NCBI:59765|NCBI:61369|NCBI:62683|NCBI:120042|NCBI:120297|NCBI:61364|NCBI:96317|NCBI:61374|NCBI:96318|NCBI:42551|NCBI:100902|NCBI:61370|NCBI:120040	13	2
GLOBI:NCBITaxon:909455@Fusarium oxysporum (Schlecht) emend. Snyd & Hans. f. sp. asparagi (Cohen & Heald)|OTT:404217	IF:218372|NCBI:330941|NCBI:59765|NCBI:61369|NCBI:62683|NCBI:120042|NCBI:120297|NCBI:61364|NCBI:96317|NCBI:61374|NCBI:96318|NCBI:42551|NCBI:100902|NCBI:61370|NCBI:120040	13	2
GLOBI:NBN:BMSSYS0000006936@no name|OTT:404217	IF:218372|NCBI:330941|NCBI:59765|NCBI:61369|NCBI:62683|NCBI:120042|NCBI:120297|NCBI:61364|NCBI:96317|NCBI:61374|NCBI:96318|NCBI:42551|NCBI:100902|NCBI:61370|NCBI:120040	13	2
GLOBI:NCBITaxon:909455@Fusarium oxysporum Schlecht. f. sp. pisi (J.C. Hall) W.C. Snyder & H.N. Hans. race 2|OTT:404217	IF:218372|NCBI:330941|NCBI:59765|NCBI:61369|NCBI:62683|NCBI:120042|NCBI:120297|NCBI:61364|NCBI:96317|NCBI:61374|NCBI:96318|NCBI:42551|NCBI:100902|NCBI:61370|NCBI:120040	13	2
GLOBI:EOL:187980@Fusarium oxysporum|OTT:404217	IF:218372|NCBI:330941|NCBI:59765|NCBI:61369|NCBI:62683|NCBI:120042|NCBI:120297|NCBI:61364|NCBI:96317|NCBI:61374|NCBI:96318|NCBI:42551|NCBI:100902|NCBI:61370|NCBI:120040	13	2
